#,도감 번호,이름,타입,총합,체력,공격,방어,특수공격,특수방어,속도
412,334,Altaria  Mega Altaria,Dragon  Fairy,590,75,110,110,110,105,80
413,335,Zangoose,Normal,458,73,115,60,60,60,90
414,336,Seviper,Poison,458,73,100,60,100,60,65
415,337,Lunatone,Rock  Psychic,460,90,55,65,95,85,70
416,338,Solrock,Rock  Psychic,460,90,95,85,55,65,70
417,339,Barboach,Water  Ground,288,50,48,43,46,41,60
418,340,Whiscash,Water  Ground,468,110,78,73,76,71,60
419,341,Corphish,Water,308,43,80,65,50,35,35
420,342,Crawdaunt,Water  Dark,468,63,120,85,90,55,55
421,343,Baltoy,Ground  Psychic,300,40,40,55,40,70,55
422,344,Claydol,Ground  Psychic,500,60,70,105,70,120,75
423,345,Lileep,Rock  Grass,355,66,41,77,61,87,23
424,346,Cradily,Rock  Grass,495,86,81,97,81,107,43
425,347,Anorith,Rock  Bug,355,45,95,50,40,50,75
426,348,Armaldo,Rock  Bug,495,75,125,100,70,80,45
427,349,Feebas,Water,200,20,15,20,10,55,80
428,350,Milotic,Water,540,95,60,79,100,125,81
429,351,Castform,Normal,420,70,70,70,70,70,70
430,351,Castform  Sunny Form,Fire,420,70,70,70,70,70,70
431,351,Castform  Rainy Form,Water,420,70,70,70,70,70,70
432,351,Castform  Snowy Form,Ice,420,70,70,70,70,70,70
433,352,Kecleon,Normal,440,60,90,70,60,120,40
434,353,Shuppet,Ghost,295,44,75,35,63,33,45
435,354,Banette,Ghost,455,64,115,65,83,63,65
436,354,Banette  Mega Banette,Ghost,555,64,165,75,93,83,75
437,355,Duskull,Ghost,295,20,40,90,30,90,25
438,356,Dusclops,Ghost,455,40,70,130,60,130,25
439,357,Tropius,Grass  Flying,460,99,68,83,72,87,51
440,358,Chimecho,Psychic,455,75,50,80,95,90,65
441,359,Absol,Dark,465,65,130,60,75,60,75
442,359,Absol  Mega Absol,Dark,565,65,150,60,115,60,115
443,360,Wynaut,Psychic,260,95,23,48,23,48,23
444,361,Snorunt,Ice,300,50,50,50,50,50,50
445,362,Glalie,Ice,480,80,80,80,80,80,80
446,362,Glalie  Mega Glalie,Ice,580,80,120,80,120,80,100
447,363,Spheal,Ice  Water,290,70,40,50,55,50,25
448,364,Sealeo,Ice  Water,410,90,60,70,75,70,45
449,365,Walrein,Ice  Water,530,110,80,90,95,90,65
450,366,Clamperl,Water,345,35,64,85,74,55,32
451,367,Huntail,Water,485,55,104,105,94,75,52
452,368,Gorebyss,Water,485,55,84,105,114,75,52
453,369,Relicanth,Water  Rock,485,100,90,130,45,65,55
454,370,Luvdisc,Water,330,43,30,55,40,65,97
455,371,Bagon,Dragon,300,45,75,60,40,30,50
456,372,Shelgon,Dragon,420,65,95,100,60,50,50
457,373,Salamence,Dragon  Flying,600,95,135,80,110,80,100
458,373,Salamence  Mega Salamence,Dragon  Flying,700,95,145,130,120,90,120
459,374,Beldum,Steel  Psychic,300,40,55,80,35,60,30
460,375,Metang,Steel  Psychic,420,60,75,100,55,80,50
461,376,Metagross,Steel  Psychic,600,80,135,130,95,90,70
462,376,Metagross  Mega Metagross,Steel  Psychic,700,80,145,150,105,110,110
463,377,Regirock,Rock,580,80,100,200,50,100,50
464,378,Regice,Ice,580,80,50,100,100,200,50
465,379,Registeel,Steel,580,80,75,150,75,150,50
466,380,Latias,Dragon  Psychic,600,80,80,90,110,130,110
467,380,Latias  Mega Latias,Dragon  Psychic,700,80,100,120,140,150,110
468,381,Latios,Dragon  Psychic,600,80,90,80,130,110,110
469,381,Latios  Mega Latios,Dragon  Psychic,700,80,130,100,160,120,110
470,382,Kyogre,Water,670,100,100,90,150,140,90
471,382,Kyogre  Primal Kyogre,Water,770,100,150,90,180,160,90
472,383,Groudon,Ground,670,100,150,140,100,90,90
473,383,Groudon  Primal Groudon,Ground  Fire,770,100,180,160,150,90,90
474,384,Rayquaza,Dragon  Flying,680,105,150,90,150,90,95
475,384,Rayquaza  Mega Rayquaza,Dragon  Flying,780,105,180,100,180,100,115
476,385,Jirachi,Steel  Psychic,600,100,100,100,100,100,100
477,386,Deoxys  Normal Forme,Psychic,600,50,150,50,150,50,150
478,386,Deoxys  Attack Forme,Psychic,600,50,180,20,180,20,150
479,386,Deoxys  Defense Forme,Psychic,600,50,70,160,70,160,90
480,386,Deoxys  Speed Forme,Psychic,600,50,95,90,95,90,180
481,387,Turtwig,Grass,318,55,68,64,45,55,31
482,388,Grotle,Grass,405,75,89,85,55,65,36
483,389,Torterra,Grass  Ground,525,95,109,105,75,85,56
484,390,Chimchar,Fire,309,44,58,44,58,44,61
485,391,Monferno,Fire  Fighting,405,64,78,52,78,52,81
486,392,Infernape,Fire  Fighting,534,76,104,71,104,71,108
487,393,Piplup,Water,314,53,51,53,61,56,40
488,394,Prinplup,Water,405,64,66,68,81,76,50
489,395,Empoleon,Water  Steel,530,84,86,88,111,101,60
490,396,Starly,Normal  Flying,245,40,55,30,30,30,60
491,397,Staravia,Normal  Flying,340,55,75,50,40,40,80
492,398,Staraptor,Normal  Flying,485,85,120,70,50,60,100
493,399,Bidoof,Normal,250,59,45,40,35,40,31
494,400,Bibarel,Normal  Water,410,79,85,60,55,60,71
495,401,Kricketot,Bug,194,37,25,41,25,41,25
496,402,Kricketune,Bug,384,77,85,51,55,51,65
497,403,Shinx,Electric,263,45,65,34,40,34,45
498,404,Luxio,Electric,363,60,85,49,60,49,60
499,405,Luxray,Electric,523,80,120,79,95,79,70
500,406,Budew,Grass  Poison,280,40,30,35,50,70,55
501,407,Roserade,Grass  Poison,515,60,70,65,125,105,90
502,408,Cranidos,Rock,350,67,125,40,30,30,58
503,409,Rampardos,Rock,495,97,165,60,65,50,58
504,410,Shieldon,Rock  Steel,350,30,42,118,42,88,30
505,411,Bastiodon,Rock  Steel,495,60,52,168,47,138,30
506,412,Burmy  Plant Cloak,Bug,224,40,29,45,29,45,36
507,412,Burmy  Sandy Cloak,Bug,224,40,29,45,29,45,36
508,412,Burmy  Trash Cloak,Bug,224,40,29,45,29,45,36
509,413,Wormadam  Plant Cloak,Bug  Grass,424,60,59,85,79,105,36
510,413,Wormadam  Sandy Cloak,Bug  Ground,424,60,79,105,59,85,36
511,413,Wormadam  Trash Cloak,Bug  Steel,424,60,69,95,69,95,36
512,414,Mothim,Bug  Flying,424,70,94,50,94,50,66
513,415,Combee,Bug  Flying,244,30,30,42,30,42,70
514,416,Vespiquen,Bug  Flying,474,70,80,102,80,102,40
515,417,Pachirisu,Electric,405,60,45,70,45,90,95
516,418,Buizel,Water,330,55,65,35,60,30,85
517,419,Floatzel,Water,495,85,105,55,85,50,115
518,420,Cherubi,Grass,275,45,35,45,62,53,35
519,421,Cherrim,Grass,450,70,60,70,87,78,85
520,422,Shellos,Water,325,76,48,48,57,62,34
521,423,Gastrodon,Water  Ground,475,111,83,68,92,82,39
522,424,Ambipom,Normal,482,75,100,66,60,66,115
523,425,Drifloon,Ghost  Flying,348,90,50,34,60,44,70
524,426,Drifblim,Ghost  Flying,498,150,80,44,90,54,80
525,427,Buneary,Normal,350,55,66,44,44,56,85
526,428,Lopunny,Normal,480,65,76,84,54,96,105
527,428,Lopunny  Mega Lopunny,Normal  Fighting,580,65,136,94,54,96,135
528,429,Mismagius,Ghost,495,60,60,60,105,105,105
529,430,Honchkrow,Dark  Flying,505,100,125,52,105,52,71
530,431,Glameow,Normal,310,49,55,42,42,37,85
531,432,Purugly,Normal,452,71,82,64,64,59,112
532,433,Chingling,Psychic,285,45,30,50,65,50,45
533,434,Stunky,Poison  Dark,329,63,63,47,41,41,74
534,435,Skuntank,Poison  Dark,479,103,93,67,71,61,84
535,436,Bronzor,Steel  Psychic,300,57,24,86,24,86,23
536,437,Bronzong,Steel  Psychic,500,67,89,116,79,116,33
537,438,Bonsly,Rock,290,50,80,95,10,45,10
538,439,Mime Jr.,Psychic  Fairy,310,20,25,45,70,90,60
539,440,Happiny,Normal,220,100,5,5,15,65,30
540,441,Chatot,Normal  Flying,411,76,65,45,92,42,91
541,442,Spiritomb,Ghost  Dark,485,50,92,108,92,108,35
542,443,Gible,Dragon  Ground,300,58,70,45,40,45,42
543,444,Gabite,Dragon  Ground,410,68,90,65,50,55,82
544,445,Garchomp,Dragon  Ground,600,108,130,95,80,85,102
545,445,Garchomp  Mega Garchomp,Dragon  Ground,700,108,170,115,120,95,92
546,446,Munchlax,Normal,390,135,85,40,40,85,5
547,447,Riolu,Fighting,285,40,70,40,35,40,60
548,448,Lucario,Fighting  Steel,525,70,110,70,115,70,90
549,448,Lucario  Mega Lucario,Fighting  Steel,625,70,145,88,140,70,112
550,449,Hippopotas,Ground,330,68,72,78,38,42,32
551,450,Hippowdon,Ground,525,108,112,118,68,72,47
552,451,Skorupi,Poison  Bug,330,40,50,90,30,55,65
553,452,Drapion,Poison  Dark,500,70,90,110,60,75,95
554,453,Croagunk,Poison  Fighting,300,48,61,40,61,40,50
555,454,Toxicroak,Poison  Fighting,490,83,106,65,86,65,85
556,455,Carnivine,Grass,454,74,100,72,90,72,46
557,456,Finneon,Water,330,49,49,56,49,61,66
558,457,Lumineon,Water,460,69,69,76,69,86,91
559,458,Mantyke,Water  Flying,345,45,20,50,60,120,50
560,459,Snover,Grass  Ice,334,60,62,50,62,60,40
561,460,Abomasnow,Grass  Ice,494,90,92,75,92,85,60
562,460,Abomasnow  Mega Abomasnow,Grass  Ice,594,90,132,105,132,105,30
563,461,Weavile,Dark  Ice,510,70,120,65,45,85,125
564,462,Magnezone,Electric  Steel,535,70,70,115,130,90,60
565,463,Lickilicky,Normal,515,110,85,95,80,95,50
566,464,Rhyperior,Ground  Rock,535,115,140,130,55,55,40
567,465,Tangrowth,Grass,535,100,100,125,110,50,50
568,466,Electivire,Electric,540,75,123,67,95,85,95
569,467,Magmortar,Fire,540,75,95,67,125,95,83
570,468,Togekiss,Fairy  Flying,545,85,50,95,120,115,80
571,469,Yanmega,Bug  Flying,515,86,76,86,116,56,95
572,470,Leafeon,Grass,525,65,110,130,60,65,95
573,471,Glaceon,Ice,525,65,60,110,130,95,65
574,472,Gliscor,Ground  Flying,510,75,95,125,45,75,95
575,473,Mamoswine,Ice  Ground,530,110,130,80,70,60,80
576,474,Porygon-Z,Normal,535,85,80,70,135,75,90
577,475,Gallade,Psychic  Fighting,518,68,125,65,65,115,80
578,475,Gallade  Mega Gallade,Psychic  Fighting,618,68,165,95,65,115,110
579,476,Probopass,Rock  Steel,525,60,55,145,75,150,40
580,477,Dusknoir,Ghost,525,45,100,135,65,135,45
581,478,Froslass,Ice  Ghost,480,70,80,70,80,70,110
582,479,Rotom,Electric  Ghost,440,50,50,77,95,77,91
583,479,Rotom  Heat Rotom,Electric  Fire,520,50,65,107,105,107,86
584,479,Rotom  Wash Rotom,Electric  Water,520,50,65,107,105,107,86
585,479,Rotom  Frost Rotom,Electric  Ice,520,50,65,107,105,107,86
586,479,Rotom  Fan Rotom,Electric  Flying,520,50,65,107,105,107,86
587,479,Rotom  Mow Rotom,Electric  Grass,520,50,65,107,105,107,86
588,480,Uxie,Psychic,580,75,75,130,75,130,95
589,481,Mesprit,Psychic,580,80,105,105,105,105,80
590,482,Azelf,Psychic,580,75,125,70,125,70,115
591,483,Dialga,Steel  Dragon,680,100,120,120,150,100,90
592,483,Dialga  Origin Forme,Steel  Dragon,680,100,100,120,150,120,90
593,484,Palkia,Water  Dragon,680,90,120,100,150,120,100
594,484,Palkia  Origin Forme,Water  Dragon,680,90,100,100,150,120,120
595,485,Heatran,Fire  Steel,600,91,90,106,130,106,77
596,486,Regigigas,Normal,670,110,160,110,80,110,100
597,487,Giratina  Altered Forme,Ghost  Dragon,680,150,100,120,100,120,90
598,487,Giratina  Origin Forme,Ghost  Dragon,680,150,120,100,120,100,90
599,488,Cresselia,Psychic,580,120,70,110,75,120,85
600,489,Phione,Water,480,80,80,80,80,80,80
601,490,Manaphy,Water,600,100,100,100,100,100,100
602,491,Darkrai,Dark,600,70,90,90,135,90,125
603,492,Shaymin  Land Forme,Grass,600,100,100,100,100,100,100
604,492,Shaymin  Sky Forme,Grass  Flying,600,100,103,75,120,75,127
605,493,Arceus,Normal,720,120,120,120,120,120,120
606,494,Victini,Psychic  Fire,600,100,100,100,100,100,100
607,495,Snivy,Grass,308,45,45,55,45,55,63
608,496,Servine,Grass,413,60,60,75,60,75,83
609,497,Serperior,Grass,528,75,75,95,75,95,113
610,498,Tepig,Fire,308,65,63,45,45,45,45
611,499,Pignite,Fire  Fighting,418,90,93,55,70,55,55
612,500,Emboar,Fire  Fighting,528,110,123,65,100,65,65
613,501,Oshawott,Water,308,55,55,45,63,45,45
614,502,Dewott,Water,413,75,75,60,83,60,60
615,503,Samurott,Water,528,95,100,85,108,70,70
616,503,Samurott  Hisuian Samurott,Water  Dark,528,90,108,80,100,65,85
617,504,Patrat,Normal,255,45,55,39,35,39,42
618,505,Watchog,Normal,420,60,85,69,60,69,77
619,506,Lillipup,Normal,275,45,60,45,25,45,55
620,507,Herdier,Normal,370,65,80,65,35,65,60
621,508,Stoutland,Normal,500,85,110,90,45,90,80
622,509,Purrloin,Dark,281,41,50,37,50,37,66
623,510,Liepard,Dark,446,64,88,50,88,50,106
624,511,Pansage,Grass,316,50,53,48,53,48,64
625,512,Simisage,Grass,498,75,98,63,98,63,101
626,513,Pansear,Fire,316,50,53,48,53,48,64
627,514,Simisear,Fire,498,75,98,63,98,63,101
628,515,Panpour,Water,316,50,53,48,53,48,64
629,516,Simipour,Water,498,75,98,63,98,63,101
630,517,Munna,Psychic,292,76,25,45,67,55,24
631,518,Musharna,Psychic,487,116,55,85,107,95,29
632,519,Pidove,Normal  Flying,264,50,55,50,36,30,43
633,520,Tranquill,Normal  Flying,358,62,77,62,50,42,65
634,521,Unfezant,Normal  Flying,488,80,115,80,65,55,93
635,522,Blitzle,Electric,295,45,60,32,50,32,76
636,523,Zebstrika,Electric,497,75,100,63,80,63,116
637,524,Roggenrola,Rock,280,55,75,85,25,25,15
638,525,Boldore,Rock,390,70,105,105,50,40,20
639,526,Gigalith,Rock,515,85,135,130,60,80,25
640,527,Woobat,Psychic  Flying,323,65,45,43,55,43,72
641,528,Swoobat,Psychic  Flying,425,67,57,55,77,55,114
642,529,Drilbur,Ground,328,60,85,40,30,45,68
643,530,Excadrill,Ground  Steel,508,110,135,60,50,65,88
644,531,Audino,Normal,445,103,60,86,60,86,50
645,531,Audino  Mega Audino,Normal  Fairy,545,103,60,126,80,126,50
646,532,Timburr,Fighting,305,75,80,55,25,35,35
647,533,Gurdurr,Fighting,405,85,105,85,40,50,40
648,534,Conkeldurr,Fighting,505,105,140,95,55,65,45
649,535,Tympole,Water,294,50,50,40,50,40,64
650,536,Palpitoad,Water  Ground,384,75,65,55,65,55,69
651,537,Seismitoad,Water  Ground,509,105,95,75,85,75,74
652,538,Throh,Fighting,465,120,100,85,30,85,45
653,539,Sawk,Fighting,465,75,125,75,30,75,85
654,540,Sewaddle,Bug  Grass,310,45,53,70,40,60,42
655,541,Swadloon,Bug  Grass,380,55,63,90,50,80,42
656,542,Leavanny,Bug  Grass,500,75,103,80,70,80,92
657,543,Venipede,Bug  Poison,260,30,45,59,30,39,57
658,544,Whirlipede,Bug  Poison,360,40,55,99,40,79,47
659,545,Scolipede,Bug  Poison,485,60,100,89,55,69,112
660,546,Cottonee,Grass  Fairy,280,40,27,60,37,50,66
661,547,Whimsicott,Grass  Fairy,480,60,67,85,77,75,116
662,548,Petilil,Grass,280,45,35,50,70,50,30
663,549,Lilligant,Grass,480,70,60,75,110,75,90
664,549,Lilligant  Hisuian Lilligant,Grass  Fighting,480,70,105,75,50,75,105
665,550,Basculin  Red-Striped Form,Water,460,70,92,65,80,55,98
666,550,Basculin  Blue-Striped Form,Water,460,70,92,65,80,55,98
667,550,Basculin  White-Striped Form,Water,460,70,92,65,80,55,98
668,551,Sandile,Ground  Dark,292,50,72,35,35,35,65
669,552,Krokorok,Ground  Dark,351,60,82,45,45,45,74
670,553,Krookodile,Ground  Dark,519,95,117,80,65,70,92
671,554,Darumaka,Fire,315,70,90,45,15,45,50
672,554,Darumaka  Galarian Darumaka,Ice,315,70,90,45,15,45,50
673,555,Darmanitan  Standard Mode,Fire,480,105,140,55,30,55,95
674,555,Darmanitan  Zen Mode,Fire  Psychic,540,105,30,105,140,105,55
675,555,Darmanitan  Galarian Standard Mode,Ice,480,105,140,55,30,55,95
676,555,Darmanitan  Galarian Zen Mode,Ice  Fire,540,105,160,55,30,55,135
677,556,Maractus,Grass,461,75,86,67,106,67,60
678,557,Dwebble,Bug  Rock,325,50,65,85,35,35,55
679,558,Crustle,Bug  Rock,485,70,105,125,65,75,45
680,559,Scraggy,Dark  Fighting,348,50,75,70,35,70,48
681,560,Scrafty,Dark  Fighting,488,65,90,115,45,115,58
682,561,Sigilyph,Psychic  Flying,490,72,58,80,103,80,97
683,562,Yamask,Ghost,303,38,30,85,55,65,30
684,562,Yamask  Galarian Yamask,Ground  Ghost,303,38,55,85,30,65,30
685,563,Cofagrigus,Ghost,483,58,50,145,95,105,30
686,564,Tirtouga,Water  Rock,355,54,78,103,53,45,22
687,565,Carracosta,Water  Rock,495,74,108,133,83,65,32
688,566,Archen,Rock  Flying,401,55,112,45,74,45,70
689,567,Archeops,Rock  Flying,567,75,140,65,112,65,110
690,568,Trubbish,Poison,329,50,50,62,40,62,65
691,569,Garbodor,Poison,474,80,95,82,60,82,75
692,570,Zorua,Dark,330,40,65,40,80,40,65
693,570,Zorua  Hisuian Zorua,Normal  Ghost,330,35,60,40,85,40,70
694,571,Zoroark,Dark,510,60,105,60,120,60,105
695,571,Zoroark  Hisuian Zoroark,Normal  Ghost,510,55,100,60,125,60,110
696,572,Minccino,Normal,300,55,50,40,40,40,75
697,573,Cinccino,Normal,470,75,95,60,65,60,115
698,574,Gothita,Psychic,290,45,30,50,55,65,45
699,575,Gothorita,Psychic,390,60,45,70,75,85,55
700,576,Gothitelle,Psychic,490,70,55,95,95,110,65
701,577,Solosis,Psychic,290,45,30,40,105,50,20
702,578,Duosion,Psychic,370,65,40,50,125,60,30
703,579,Reuniclus,Psychic,490,110,65,75,125,85,30
704,580,Ducklett,Water  Flying,305,62,44,50,44,50,55
705,581,Swanna,Water  Flying,473,75,87,63,87,63,98
706,582,Vanillite,Ice,305,36,50,50,65,60,44
707,583,Vanillish,Ice,395,51,65,65,80,75,59
708,584,Vanilluxe,Ice,535,71,95,85,110,95,79
709,585,Deerling,Normal  Grass,335,60,60,50,40,50,75
710,586,Sawsbuck,Normal  Grass,475,80,100,70,60,70,95
711,587,Emolga,Electric  Flying,428,55,75,60,75,60,103
712,588,Karrablast,Bug,315,50,75,45,40,45,60
713,589,Escavalier,Bug  Steel,495,70,135,105,60,105,20
714,590,Foongus,Grass  Poison,294,69,55,45,55,55,15
715,591,Amoonguss,Grass  Poison,464,114,85,70,85,80,30
716,592,Frillish,Water  Ghost,335,55,40,50,65,85,40
717,593,Jellicent,Water  Ghost,480,100,60,70,85,105,60
718,594,Alomomola,Water,470,165,75,80,40,45,65
719,595,Joltik,Bug  Electric,319,50,47,50,57,50,65
720,596,Galvantula,Bug  Electric,472,70,77,60,97,60,108
721,597,Ferroseed,Grass  Steel,305,44,50,91,24,86,10
722,598,Ferrothorn,Grass  Steel,489,74,94,131,54,116,20
723,599,Klink,Steel,300,40,55,70,45,60,30
724,600,Klang,Steel,440,60,80,95,70,85,50
725,601,Klinklang,Steel,520,60,100,115,70,85,90
726,602,Tynamo,Electric,275,35,55,40,45,40,60
727,603,Eelektrik,Electric,405,65,85,70,75,70,40
728,604,Eelektross,Electric,515,85,115,80,105,80,50
729,605,Elgyem,Psychic,335,55,55,55,85,55,30
730,606,Beheeyem,Psychic,485,75,75,75,125,95,40
731,607,Litwick,Ghost  Fire,275,50,30,55,65,55,20
732,608,Lampent,Ghost  Fire,370,60,40,60,95,60,55
733,609,Chandelure,Ghost  Fire,520,60,55,90,145,90,80
734,610,Axew,Dragon,320,46,87,60,30,40,57
735,611,Fraxure,Dragon,410,66,117,70,40,50,67
736,612,Haxorus,Dragon,540,76,147,90,60,70,97
737,613,Cubchoo,Ice,305,55,70,40,60,40,40
738,614,Beartic,Ice,505,95,130,80,70,80,50
739,615,Cryogonal,Ice,515,80,50,50,95,135,105
740,616,Shelmet,Bug,305,50,40,85,40,65,25
741,617,Accelgor,Bug,495,80,70,40,100,60,145
742,618,Stunfisk,Ground  Electric,471,109,66,84,81,99,32
743,618,Stunfisk  Galarian Stunfisk,Ground  Steel,471,109,81,99,66,84,32
744,619,Mienfoo,Fighting,350,45,85,50,55,50,65
745,620,Mienshao,Fighting,510,65,125,60,95,60,105
746,621,Druddigon,Dragon,485,77,120,90,60,90,48
747,622,Golett,Ground  Ghost,303,59,74,50,35,50,35
748,623,Golurk,Ground  Ghost,483,89,124,80,55,80,55
749,624,Pawniard,Dark  Steel,340,45,85,70,40,40,60
750,625,Bisharp,Dark  Steel,490,65,125,100,60,70,70
751,626,Bouffalant,Normal,490,95,110,95,40,95,55
752,627,Rufflet,Normal  Flying,350,70,83,50,37,50,60
753,628,Braviary,Normal  Flying,510,100,123,75,57,75,80
754,628,Braviary  Hisuian Braviary,Psychic  Flying,510,110,83,70,112,70,65
755,629,Vullaby,Dark  Flying,370,70,55,75,45,65,60
756,630,Mandibuzz,Dark  Flying,510,110,65,105,55,95,80
757,631,Heatmor,Fire,484,85,97,66,105,66,65
758,632,Durant,Bug  Steel,484,58,109,112,48,48,109
759,633,Deino,Dark  Dragon,300,52,65,50,45,50,38
760,634,Zweilous,Dark  Dragon,420,72,85,70,65,70,58
761,635,Hydreigon,Dark  Dragon,600,92,105,90,125,90,98
762,636,Larvesta,Bug  Fire,360,55,85,55,50,55,60
763,637,Volcarona,Bug  Fire,550,85,60,65,135,105,100
764,638,Cobalion,Steel  Fighting,580,91,90,129,90,72,108
765,639,Terrakion,Rock  Fighting,580,91,129,90,72,90,108
766,640,Virizion,Grass  Fighting,580,91,90,72,90,129,108
767,641,Tornadus  Incarnate Forme,Flying,580,79,115,70,125,80,111
768,641,Tornadus  Therian Forme,Flying,580,79,100,80,110,90,121
769,642,Thundurus  Incarnate Forme,Electric  Flying,580,79,115,70,125,80,111
770,642,Thundurus  Therian Forme,Electric  Flying,580,79,105,70,145,80,101
771,643,Reshiram,Dragon  Fire,680,100,120,100,150,120,90
772,644,Zekrom,Dragon  Electric,680,100,150,120,120,100,90
773,645,Landorus  Incarnate Forme,Ground  Flying,600,89,125,90,115,80,101
774,645,Landorus  Therian Forme,Ground  Flying,600,89,145,90,105,80,91
775,646,Kyurem,Dragon  Ice,660,125,130,90,130,90,95
776,646,Kyurem  White Kyurem,Dragon  Ice,700,125,120,90,170,100,95
777,646,Kyurem  Black Kyurem,Dragon  Ice,700,125,170,100,120,90,95
778,647,Keldeo  Ordinary Form,Water  Fighting,580,91,72,90,129,90,108
779,647,Keldeo  Resolute Form,Water  Fighting,580,91,72,90,129,90,108
780,648,Meloetta  Aria Forme,Normal  Psychic,600,100,77,77,128,128,90
781,648,Meloetta  Pirouette Forme,Normal  Fighting,600,100,128,90,77,77,128
782,649,Genesect,Bug  Steel,600,71,120,95,120,95,99
783,650,Chespin,Grass,313,56,61,65,48,45,38
784,651,Quilladin,Grass,405,61,78,95,56,58,57
785,652,Chesnaught,Grass  Fighting,530,88,107,122,74,75,64
786,653,Fennekin,Fire,307,40,45,40,62,60,60
787,654,Braixen,Fire,409,59,59,58,90,70,73
788,655,Delphox,Fire  Psychic,534,75,69,72,114,100,104
789,656,Froakie,Water,314,41,56,40,62,44,71
790,657,Frogadier,Water,405,54,63,52,83,56,97
791,658,Greninja,Water  Dark,530,72,95,67,103,71,122
792,658,Greninja  Ash-Greninja,Water  Dark,640,72,145,67,153,71,132
793,659,Bunnelby,Normal,237,38,36,38,32,36,57
794,660,Diggersby,Normal  Ground,423,85,56,77,50,77,78
795,661,Fletchling,Normal  Flying,278,45,50,43,40,38,62
796,662,Fletchinder,Fire  Flying,382,62,73,55,56,52,84
797,663,Talonflame,Fire  Flying,499,78,81,71,74,69,126
798,664,Scatterbug,Bug,200,38,35,40,27,25,35
799,665,Spewpa,Bug,213,45,22,60,27,30,29
800,666,Vivillon,Bug  Flying,411,80,52,50,90,50,89
801,667,Litleo,Fire  Normal,369,62,50,58,73,54,72
802,668,Pyroar,Fire  Normal,507,86,68,72,109,66,106
803,669,Flabébé,Fairy,303,44,38,39,61,79,42
804,670,Floette,Fairy,371,54,45,47,75,98,52
805,671,Florges,Fairy,552,78,65,68,112,154,75
806,672,Skiddo,Grass,350,66,65,48,62,57,52
807,673,Gogoat,Grass,531,123,100,62,97,81,68
808,674,Pancham,Fighting,348,67,82,62,46,48,43
809,675,Pangoro,Fighting  Dark,495,95,124,78,69,71,58
810,676,Furfrou,Normal,472,75,80,60,65,90,102
811,677,Espurr,Psychic,355,62,48,54,63,60,68
812,678,Meowstic  Male,Psychic,466,74,48,76,83,81,104
813,678,Meowstic  Female,Psychic,466,74,48,76,83,81,104
814,679,Honedge,Steel  Ghost,325,45,80,100,35,37,28
815,680,Doublade,Steel  Ghost,448,59,110,150,45,49,35
816,681,Aegislash  Shield Forme,Steel  Ghost,500,60,50,140,50,140,60
817,681,Aegislash  Blade Forme,Steel  Ghost,500,60,140,50,140,50,60
818,682,Spritzee,Fairy,341,78,52,60,63,65,23
819,683,Aromatisse,Fairy,462,101,72,72,99,89,29
820,684,Swirlix,Fairy,341,62,48,66,59,57,49
821,685,Slurpuff,Fairy,480,82,80,86,85,75,72
822,686,Inkay,Dark  Psychic,288,53,54,53,37,46,45
